,textname,word,tfidf_score
422,1915_Wilson,cent per,0.19691136489051336
423,1938_Roosevelt,business men,0.19677374106860362
424,1906_Roosevelt,national government,0.19660567751468944
425,1897_McKinley,interest bearing,0.19632969938016034
426,1913_Wilson,porto rico,0.19614172232287477
427,1909_Taft,tariff board,0.19602116592813534
428,1926_Coolidge,tax reduction,0.19592035721729986
429,1843_Tyler,relation amity,0.19581767972949843
430,1793_Washington,within united state,0.19544348563410766
431,1986_Reagan,going forward,0.1952716138274474
432,1897_McKinley,interest bearing debt,0.19520936324968785
433,1897_McKinley,bearing debt,0.19520936324968785
434,1954_Eisenhower,grant aid,0.19520798222917513
435,1809_Madison,british government,0.1945833622389827
436,1868_Johnson,three hundred,0.19453866600827907
437,1908_Roosevelt,destruction forest,0.19431176133222844
438,1890_Harrison,per cent,0.19422671973088812
439,1962_Kennedy,strong america,0.19390212451068642
440,1791_Washington,post road,0.19378379734835643
441,1803_Jefferson,service ensuing year,0.19372154630767463
442,1818_Monroe,government spain,0.1936415386688801
443,1984_Reagan,economic recovery,0.1931809219679898
444,1881_Arthur,state department,0.19317086418517057
445,1891_Harrison,fiscal year,0.19297399580511768
446,1940_Roosevelt,rest world,0.19293238405759536
447,1850_Fillmore,respectfully recommend,0.19289988020588492
448,1915_Wilson,hundred thirty,0.1925901446878555
449,1917_Wilson,peace world,0.19242547615802902
450,1908_Roosevelt,interstate commerce,0.19193986932326118
451,1885_Cleveland,silver coinage,0.1918411901907214
452,1817_Monroe,public land,0.19176563423801865
453,1810_Madison,order council,0.19172943878457785
454,1891_Harrison,per cent,0.19155443985374893
455,1893_Cleveland,year ending,0.19155081173557237
456,1945_Roosevelt,war production,0.19125149383505427
457,1906_Roosevelt,inheritance tax,0.1911007302176306
458,1856_Pierce,railroad company,0.19090251618716225
459,1877_Hayes,fiscal year,0.19045600120966863
460,2000_Clinton,child care,0.1904145528629281
461,1832_Jackson,public debt,0.19019658095843692
462,2015_Obama,community college,0.19016118780352906
463,1793_Washington,throughout united state,0.19002527463864624
464,1793_Washington,within united,0.19002527463864624
465,1793_Washington,throughout united,0.19002527463864624
466,1932_Hoover,per cent,0.189736342525755
467,1953_Truman,soviet union,0.18953569456700312
468,1909_Taft,saving bank,0.1895272050812061
469,1805_Jefferson,armed vessel,0.18951143635926576
470,1849_Taylor,german empire,0.18948951862105318
471,1859_Buchanan,year ending 30th,0.1894134252207041
472,1800_Adams,treaty amity commerce,0.18933621898036376
473,1809_Madison,due government,0.18933498802778198
474,2007_Bush,war terror,0.18931854598556483
475,1791_Washington,gentleman senate,0.1893129775792938
476,1993_Clinton,spending cut,0.1888186384022068
477,1840_Buren,public money,0.18879695469338376
478,2004_Bush,saddam hussein,0.18852407978570934
479,1903_Roosevelt,public land,0.18848730531994512
480,1807_Jefferson,last communication,0.188359580741153
481,1807_Jefferson,shall found,0.188359580741153
482,2009_Obama,cost health care,0.18833187075535815
483,1977_Ford,new administration,0.18814777463565144
484,1885_Cleveland,fiscal year,0.1881297034724247
485,1887_Cleveland,per cent,0.1878973536368454
486,1988_Reagan,federal government,0.18789167810916146
487,1804_Jefferson,authority law,0.18778463232497486
488,1953_Truman,united nation,0.18777494969188363
489,1856_Pierce,domestic institution,0.18774595612265968
490,1866_Johnson,representative state,0.1872959703854592
491,2013_Obama,deficit reduction,0.18716217297073143
492,1840_Buren,national bank,0.1870985366688467
493,1932_Hoover,public work,0.1870294386398097
494,1818_Monroe,minister plenipotentiary,0.18698284445346955
495,1878_Hayes,secretary interior,0.18696788367898853
496,1998_Clinton,go college,0.18695486216452317
497,1899_McKinley,enlisted men,0.18658483239340964
498,1929_Hoover,public health,0.1865461759722254
499,1902_Roosevelt,philippine island,0.18650905450211014
500,1871_Grant,two power,0.18639738741552658
501,1893_Cleveland,year ending june,0.1863819213812137
502,1962_Kennedy,developing nation,0.1863327292274241
503,2000_Clinton,health care,0.18627683506143672
504,1800_Adams,amity commerce,0.18620100488411073
505,1925_Coolidge,national government,0.18614921014255298
506,1859_Buchanan,ending 30th,0.18575661201363106
507,1803_Jefferson,service ensuing,0.18570287311951708
508,1937_Roosevelt,mass people,0.18562739806413617
509,1821_Monroe,ceded united state,0.18527219576666307
510,1821_Monroe,ceded united,0.18527219576666307
511,1791_Washington,land united state,0.18523143891073554
512,1791_Washington,land united,0.18523143891073554
513,2006_Bush,member congress,0.18508212805152058
514,1893_Cleveland,fine ounce,0.185048316387471
515,1888_Cleveland,year ended june,0.18493889000663638
516,1888_Cleveland,ended june,0.18493889000663638
517,1840_Buren,public service,0.1848208522883631
518,1883_Arthur,five twenty,0.18474150229616154
519,1934_Roosevelt,last spring,0.18471187081371862
520,1811_Madison,order council,0.18451534882920503
521,1811_Madison,national right,0.18451534882920503
522,1949_Truman,price support,0.18450796141514114
523,2016_Obama,past seven year,0.1843907839060487
524,1804_Jefferson,preserving peace,0.18437041733670476
525,1808_Jefferson,funded debt,0.18420301411314954
526,1926_Coolidge,federal reserve system,0.1841838418502024
527,1996_Clinton,working family,0.18393193980281394
528,1893_Cleveland,ending june,0.18344857776889711
529,1991_Bush,american know,0.1833432733327115
530,1810_Madison,minister london,0.18326774639353693
531,2009_Obama,also know,0.18323750450067214
532,1801_Jefferson,think proper,0.18308715830202651
533,1904_Roosevelt,interstate commerce,0.1828562844829209
534,1889_Harrison,silver dollar,0.18279927240573632
535,1979_Carter,american worker,0.18252903063331033
536,1954_Eisenhower,free world,0.18244472894660685
537,1988_Reagan,arm reduction,0.18243759597814896
538,1912_Taft,water power,0.18240499185492143
539,1965_Johnson,new program,0.18215202602848807
540,1939_Roosevelt,military economic,0.18198686944163733
541,1922_Harding,interstate commerce commission,0.1819504888776439
542,1922_Harding,commerce commission,0.1819504888776439
543,1989_Bush,almost billion,0.18186942419173688
544,1938_Roosevelt,billion dollar year,0.1818573162777533
545,1791_Washington,well disposed,0.18147678730299713
546,1815_Madison,treasury note,0.18146123827401867
547,1874_Grant,carrying mail,0.18144757733345868
548,1919_Wilson,balance trade,0.1812181260993629
549,1994_Clinton,create job,0.1812079333303026
550,1818_Monroe,laid congress,0.1809802199711026
551,1934_Roosevelt,part nation,0.18096775088031297
552,1934_Roosevelt,overwhelming majority,0.18096775088031297
553,1802_Jefferson,another year,0.1808867732494847
554,2014_Obama,middle class,0.18077615801391747
555,2012_Obama,high tech,0.18063702495706924
556,2005_Bush,younger worker,0.18063533571411836
557,1818_Monroe,commanding general,0.18059151401556509
558,1848_Polk,new mexico california,0.18037777709248937
559,1848_Polk,favored class,0.18037777709248937
560,1848_Polk,mexico california,0.18037777709248937
561,1887_Cleveland,increase price,0.18033309655278543
562,1926_Coolidge,reserve system,0.18021288601691648
563,1929_Hoover,per annum,0.18013146789155238
564,1801_Jefferson,law subject,0.18005542225784707
565,1995_Clinton,cold war,0.17967383196342948
566,1808_Jefferson,order council,0.17962193625562964
567,1917_Wilson,point view,0.1795839954047674
568,1810_Madison,standing army,0.17955289894275028
569,2005_Bush,men woman,0.17933402288479727
570,2009_Obama,cost health,0.17868043859935306
